question,y_true,rf_pred,lr_pred,baseline_score,rf_abs_error,lr_abs_error
i want leggings that have a 23-inch inseam and a pink floral design.,2.0,2.0076629318394024,1.8543985758513415,1,0.007662931839402365,0.1456014241486585
"i want leggings that are nylon and elastane, black with a white stripe.",2.0,2.198463690448985,1.5866490543810627,2,0.19846369044898493,0.41335094561893726
i want leggings that are fleece-lined and keep me warm in winter.,5.0,2.894569182408578,7.529373839728088,5,2.105430817591422,2.5293738397280876
i want leggings that are black with an 11.75-inch rise and a skinny fit.,2.0,2.2846046837149783,6.92218523672382,1,0.28460468371497827,4.92218523672382
i want leggings that have a skinny leg cut and a non-adjustable waist.,2.0,2.197185399295693,1.4185926218871145,1,0.19718539929569312,0.5814073781128855
i want leggings that are black with a white stripe and machine washable.,3.0,2.115596325243384,1.926886090430024,1,0.8844036747566162,1.073113909569976
i want leggings that are in good condition and soft-lined with an elastic waist.,3.0,3.0651384633884633,17.173213987007564,1,0.0651384633884633,14.173213987007564
i want leggings that have a 23-inch inseam and a pink floral design.,2.0,2.010719696969697,1.8316707788271742,2,0.01071969696969699,0.16832922117282578
i want leggings that are plaid and ultra-soft with a 1-inch elastic waistband.,2.0,2.2183366891106817,1.933736493647011,1,0.21833668911068171,0.06626350635298905
i want leggings that are black with an 11.75-inch rise and a skinny fit.,2.0,2.0654490231990237,2.5120839590771524,2,0.06544902319902368,0.5120839590771524
i want leggings that are plaid and fit waist sizes between 25 and 38 inches.,2.0,2.3304123659564824,2.2262620788131855,2,0.3304123659564824,0.2262620788131855
i want leggings that are black with an 11.75-inch rise and a skinny fit.,1.0,1.399269841269841,1.5751868922585146,1,0.399269841269841,0.5751868922585146
i want leggings that are pleather with an elastic waist and are soft-lined.,2.0,2.955500142286907,2.6949436913114226,2,0.9555001422869069,0.6949436913114226
i want leggings that are pleather with an elastic waist and are soft-lined.,2.0,2.870945246746718,2.8423119566594224,1,0.870945246746718,0.8423119566594224
i want leggings that have a 15-inch waist measurement and are flat-lay.,2.0,2.5036560199060203,2.8532067636366847,1,0.5036560199060203,0.8532067636366847
